id,name,created,modified
1,"Sauces and Condiments","0000-00-00 00:00:00","0000-00-00 00:00:00"
2,"Appetizer, Side Dishes and Snacks","0000-00-00 00:00:00","0000-00-00 00:00:00"
3,Sandwiches,"0000-00-00 00:00:00","0000-00-00 00:00:00"
4,Soups,"0000-00-00 00:00:00","0000-00-00 00:00:00"
5,Salads,"0000-00-00 00:00:00","0000-00-00 00:00:00"
6,"Pasta and Rice","0000-00-00 00:00:00","0000-00-00 00:00:00"
7,"Meat and Poultry","0000-00-00 00:00:00","0000-00-00 00:00:00"
8,"Fish and Shellfish","0000-00-00 00:00:00","0000-00-00 00:00:00"
9,"Eggs and Diary","0000-00-00 00:00:00","0000-00-00 00:00:00"
10,"Desserts and Cookies","0000-00-00 00:00:00","0000-00-00 00:00:00"
11,Meatless,"0000-00-00 00:00:00","0000-00-00 00:00:00"
12,Potluck,"0000-00-00 00:00:00","0000-00-00 00:00:00"
13,Lunchbox,"0000-00-00 00:00:00","0000-00-00 00:00:00"
